城市,普中全市,普中市辖区,普小全市,普小市辖区
  梧州市,137,37,524,140
  北海市,99,63,326,100
  防城港市,47,32,515,191
  钦州市,130,59,1004,336
  贵港市,218,83,817,353
  玉林市,269,59,1294,225
  百色市,160,20,429,50
  贺州市,104,56,321,158
  河池市,187,46,694,175
  来宾市,81,42,219,115
  崇左市,97,14,267,18
海南省,,,,
  海口市,114,114,158,158
  三亚市,48,48,117,117
  三沙市,,,1,
  儋州市,51,,222,
重庆市,1127,812,2860,1921
四川省,,,,
  成都市,621,353,607,380
  自贡市,141,55,114,60
  攀枝花市,54,39,60,31
  泸州市,241,64,223,52
  德阳市,147,35,336,59
  绵阳市,215,78,406,95
  广元市,154,50,265,85
  遂宁市,160,59,196,45
  内江市,176,57,274,83
  乐山市,194,72,228,62
  南充市,491,113,271,100
  眉山市,191,61,176,70
  宜宾市,286,116,307,109
  广安市,277,5,194,
  达州市,91,24,283,77
  雅安市,88,40,161,39
  巴中市,217,88,203,50
  资阳市,197,64,172,80
贵州省,,,,
  贵阳市,330,256,534,352
  六盘水市,209,51,471,72
  遵义市,420,119,1173,321
  安顺市,153,73,440,185
  毕节市,383,96,1663,368
  铜仁市,256,39,1278,147
云南省,,,,
  昆明市,327,224,758,368
  曲靖市,258,76,1660,273
  玉溪市,107,37,508,123
  保山市,125,41,860,297
  昭通市,254,38,1492,146
  丽江市,71,11,394,38
  普洱市,129,14,503,36
  临沧市,122,23,834,110
西藏自治区,,,,
  拉萨市,23,18,71,32
  日喀则市,31,3,226,18
  昌都市,21,1,200,23
  林芝市,11,5,61,9
  山南市,19,5,91,7
  那曲市,19,2,139,14
陕西省,,,,
  西安市,469,391,1145,952
  铜川市,44,37,80,66
  宝鸡市,199,80,458,129
  咸阳市,269,51,662,34
  渭南市,332,60,755,130
  延安市,115,41,244,78
  汉中市,209,57,461,119
  榆林市,197,39,324,91
  安康市,181,62,403,120
  商洛市,160,38,387,81
甘肃省,,,,
  兰州市,206,121,507,220
  嘉峪关市,11,,19,
  金昌市,20,11,26,13
  白银市,141,38,603,81
  天水市,253,79,594,201
  武威市,133,77,474,229
